hhcode,idcode,gender,age,edu,work,workhour,income,grand,boy,girl,child,child0,child0_2,child3_5,child6_9,husbandincome,province,city,county,cityname,countyname,urban,KinderGartenCount
11010943005012,2,1,71.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27375.0,北京市,1101,110109,北京市,门头沟区,0.0,40
11010943013012,2,1,67.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,35000.0,北京市,1101,110109,北京市,门头沟区,0.0,40
11010943029012,2,1,50.0,12.0,1.0,4320.0,43000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,北京市,1101,110109,北京市,门头沟区,0.0,40
11010943036012,1,1,49.0,12.0,1.0,2496.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,北京市,1101,110109,北京市,门头沟区,0.0,40
11010943039012,1,1,68.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市,1101,110109,北京市,门头沟区,0.0,40
11010943041012,2,1,70.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33000.0,北京市,1101,110109,北京市,门头沟区,0.0,40
11010943044012,2,1,55.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,59000.0,北京市,1101,110109,北京市,门头沟区,0.0,40
11010943054012,2,1,53.0,9.0,1.0,2880.0,41000.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,45000.0,北京市,1101,110109,北京市,门头沟区,0.0,40
11010943095012,2,1,52.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43000.0,北京市,1101,110109,北京市,门头沟区,0.0,40
11010943100012,1,1,61.0,9.0,1.0,1872.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27600.0,北京市,1101,110109,北京市,门头沟区,0.0,40
110109460210121,2,1,65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,北京市,1101,110109,北京市,门头沟区,0.0,40
11011158004012,2,1,49.0,9.0,1.0,2112.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,北京市,1101,110111,北京市,房山区,0.0,116
11011158009012,2,1,51.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,北京市,1101,110111,北京市,房山区,0.0,116
11011158019012,2,1,52.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市,1101,110111,北京市,房山区,0.0,116
11011158037012,2,1,39.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,170000.0,北京市,1101,110111,北京市,房山区,0.0,116
11011158053012,1,1,44.0,12.0,1.0,3360.0,30000.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,36000.0,北京市,1101,110111,北京市,房山区,0.0,116
11011158057012,2,1,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,24000.0,北京市,1101,110111,北京市,房山区,0.0,116
11011158060012,2,1,57.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,北京市,1101,110111,北京市,房山区,0.0,116
11011158072012,2,1,51.0,9.0,1.0,1716.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43200.0,北京市,1101,110111,北京市,房山区,0.0,116
11011158079012,2,1,54.0,12.0,1.0,1540.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,北京市,1101,110111,北京市,房山区,0.0,116
11011158091012,2,1,55.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,北京市,1101,110111,北京市,房山区,0.0,116
11011168004012,2,1,50.0,12.0,1.0,2112.0,25200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117264.0,北京市,1101,110111,北京市,房山区,0.0,116
11011168017012,2,1,60.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市,1101,110111,北京市,房山区,0.0,116
11011168020012,2,1,47.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,54000.0,北京市,1101,110111,北京市,房山区,0.0,116
11011168024012,1,1,45.0,9.0,1.0,2112.0,55199.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,52450.0,北京市,1101,110111,北京市,房山区,0.0,116
11011168055012,2,1,57.0,9.0,1.0,2112.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,北京市,1101,110111,北京市,房山区,0.0,116
11011168064012,2,1,65.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,北京市,1101,110111,北京市,房山区,0.0,116
11011168070012,2,1,59.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,北京市,1101,110111,北京市,房山区,0.0,116
11011168072012,2,1,65.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市,1101,110111,北京市,房山区,0.0,116
11011243001012,2,1,47.0,9.0,1.0,2880.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,北京市,1101,110112,北京市,通州区,0.0,104
11011243011012,2,1,34.0,12.0,1.0,2112.0,40507.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,28507.0,北京市,1101,110112,北京市,通州区,0.0,104
11011243014012,2,1,34.0,9.0,1.0,2880.0,33936.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,65784.0,北京市,1101,110112,北京市,通州区,0.0,104
11011243016012,2,1,36.0,15.0,1.0,2112.0,84000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,56383.0,北京市,1101,110112,北京市,通州区,0.0,104
11011243024012,2,1,32.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,60000.0,北京市,1101,110112,北京市,通州区,0.0,104
11011243029012,2,1,52.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21600.0,北京市,1101,110112,北京市,通州区,0.0,104
