运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
1.000E-10,1.030,8.168,23.562,0.0246,0.195,0.562,0.000,0.000,0.000,0.0000,0.000,0.000
0.010,1.114,8.482,27.489,0.0266,0.202,0.656,,,,,,
0.020,1.200,8.718,19.635,0.0287,0.208,0.469,,,,,,
0.030,1.288,8.875,19.635,0.0308,0.212,0.469,,,,,,
0.040,1.378,9.111,23.562,0.0329,0.217,0.563,,,,,,
0.050,1.470,9.346,19.635,0.0351,0.223,0.469,0.000,0.000,0.000,0.0000,0.000,0.000
0.060,1.565,9.503,15.708,0.0374,0.227,0.375,,,,,,
0.070,1.660,9.660,15.708,0.0396,0.231,0.375,,,,,,
0.080,1.758,9.817,15.708,0.0420,0.234,0.375,,,,,,
0.090,1.857,9.975,11.781,0.0443,0.238,0.281,,,,,,
0.100,1.957,10.053,7.854,0.0467,0.240,0.187,0.000,0.000,0.000,0.0000,0.000,0.000
0.110,2.058,10.132,7.854,0.0491,0.242,0.188,,,,,,
0.120,2.160,10.210,7.854,0.0516,0.244,0.188,,,,,,
0.130,2.262,10.289,7.854,0.0540,0.246,0.187,,,,,,
0.140,2.366,10.367,3.927,0.0565,0.247,0.094,,,,,,
0.150,2.469,10.367,-3.927,0.0590,0.247,-0.094,0.000,0.000,0.000,0.0000,0.000,0.000
0.160,2.573,10.289,-3.927,0.0614,0.246,-0.094,,,,,,
0.170,2.675,10.289,11.781,0.0639,0.246,0.281,,,,,,
0.180,2.779,10.524,23.562,0.0663,0.251,0.562,,,,,,
0.190,2.886,10.760,-3.927,0.0689,0.257,-0.094,,,,,,
0.200,2.994,10.446,-35.343,0.0715,0.249,-0.844,0.000,0.000,0.000,0.0000,0.000,0.000
0.210,3.094,10.053,-7.854,0.0739,0.240,-0.187,,,,,,
0.220,3.195,10.289,19.635,0.0763,0.246,0.469,,,,,,
0.230,3.300,10.446,-11.781,0.0788,0.249,-0.281,,,,,,
0.240,3.404,10.053,-27.489,0.0813,0.240,-0.656,,,,,,
0.250,3.501,9.896,-1.066E-12,0.0836,0.236,0.000,0.000,0.000,0.157,0.0000,0.000,0.004
0.260,3.602,10.053,-7.854,0.0860,0.240,-0.187,,,,,,
0.270,3.702,9.739,-35.343,0.0884,0.232,-0.844,,,,,,
0.280,3.797,9.346,-19.635,0.0906,0.223,-0.469,,,,,,
0.290,3.889,9.346,-7.854,0.0929,0.223,-0.188,,,,,,
0.300,3.984,9.189,-27.489,0.0951,0.219,-0.656,0.000,0.016,0.314,0.0000,3.750E-4,0.008
0.310,4.073,8.796,-27.489,0.0972,0.210,-0.656,,,,,,
0.320,4.159,8.639,-15.708,0.0993,0.206,-0.375,,,,,,
0.330,4.246,8.482,-27.489,0.1014,0.202,-0.656,,,,,,
0.340,4.329,8.090,-31.416,0.1034,0.193,-0.750,,,,,,
0.350,4.408,7.854,-19.635,0.1052,0.188,-0.469,0.002,0.031,0.000,3.7500E-5,7.500E-4,0.000
0.360,4.486,7.697,-23.562,0.1071,0.184,-0.563,,,,,,
0.370,4.562,7.383,-35.343,0.1089,0.176,-0.844,,,,,,
0.380,4.634,6.990,-31.416,0.1106,0.167,-0.750,,,,,,
0.390,4.701,6.754,-23.562,0.1122,0.161,-0.563,,,,,,
0.400,4.769,6.519,-35.343,0.1139,0.156,-0.844,0.003,0.016,-0.314,7.5000E-5,3.750E-4,-0.007
0.410,4.832,6.048,-39.270,0.1154,0.144,-0.937,,,,,,
0.420,4.890,5.733,-23.562,0.1167,0.137,-0.563,,,,,,
0.430,4.946,5.576,-31.416,0.1181,0.133,-0.750,,,,,,
0.440,5.001,5.105,-47.124,0.1194,0.122,-1.125,,,,,,
0.450,5.049,4.634,-35.343,0.1205,0.111,-0.844,0.003,0.000,-0.157,7.5000E-5,0.000,-0.004
0.460,5.094,4.398,-31.416,0.1216,0.105,-0.750,,,,,,
0.470,5.137,4.006,-39.270,0.1226,0.096,-0.937,,,,,,
0.480,5.174,3.613,-39.270,0.1235,0.086,-0.937,,,,,,
0.490,5.209,3.220,-39.270,0.1244,0.077,-0.938,,,,,,
0.500,5.239,2.827,-39.270,0.1251,0.068,-0.937,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.510,5.265,2.435,-39.270,0.1257,0.058,-0.937,,,,,,
0.520,5.287,2.042,-39.270,0.1262,0.049,-0.938,,,,,,
0.530,5.306,1.649,-39.270,0.1267,0.039,-0.938,,,,,,
0.540,5.320,1.257,-43.197,0.1270,0.030,-1.031,,,,,,
0.550,5.331,0.785,-43.197,0.1273,0.019,-1.031,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.560,5.336,0.393,-35.343,0.1274,0.009,-0.844,,,,,,
0.570,5.339,0.079,-39.270,0.1275,0.002,-0.937,,,,,,
0.580,5.338,-0.393,-47.124,0.1274,-0.009,-1.125,,,,,,
0.590,5.331,-0.864,-39.270,0.1273,-0.021,-0.937,,,,,,
0.600,5.320,-1.178,-35.343,0.1270,-0.028,-0.844,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.610,5.308,-1.571,-43.197,0.1267,-0.038,-1.031,,,,,,
0.620,5.289,-2.042,-39.270,0.1263,-0.049,-0.937,,,,,,
0.630,5.267,-2.356,-35.343,0.1257,-0.056,-0.844,,,,,,
0.640,5.242,-2.749,-39.270,0.1251,-0.066,-0.938,,,,,,
0.650,5.212,-3.142,-35.343,0.1244,-0.075,-0.844,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.660,5.179,-3.456,-35.343,0.1236,-0.082,-0.844,,,,,,
0.670,5.143,-3.848,-39.270,0.1228,-0.092,-0.937,,,,,,
0.680,5.102,-4.241,-35.343,0.1218,-0.101,-0.844,,,,,,
0.690,5.058,-4.555,-35.343,0.1207,-0.109,-0.844,,,,,,
0.700,5.011,-4.948,-39.270,0.1196,-0.118,-0.937,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.710,4.959,-5.341,-31.416,0.1184,-0.127,-0.750,,,,,,
0.720,4.904,-5.576,-27.489,0.1171,-0.133,-0.656,,,,,,
0.730,4.847,-5.890,-31.416,0.1157,-0.141,-0.750,,,,,,
0.740,4.786,-6.205,-31.416,0.1143,-0.148,-0.750,,,,,,
0.750,4.723,-6.519,-31.416,0.1128,-0.156,-0.750,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.760,4.656,-6.833,-27.489,0.1111,-0.163,-0.656,,,,,,
0.770,4.587,-7.069,-23.562,0.1095,-0.169,-0.563,,,,,,
0.780,4.514,-7.304,-23.562,0.1078,-0.174,-0.563,,,,,,
0.790,4.441,-7.540,-23.562,0.1060,-0.180,-0.563,,,,,,
0.800,4.364,-7.775,-19.635,0.1042,-0.186,-0.469,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.810,4.285,-7.933,-19.635,0.1023,-0.189,-0.469,,,,,,
0.820,4.205,-8.168,-23.562,0.1004,-0.195,-0.562,,,,,,
0.830,4.122,-8.404,-23.562,0.0984,-0.201,-0.562,,,,,,
0.840,4.037,-8.639,-19.635,0.0964,-0.206,-0.469,,,,,,
0.850,3.949,-8.796,-15.708,0.0943,-0.210,-0.375,0.003,0.000,-0.157,7.5000E-5,0.000,-0.004
0.860,3.861,-8.954,-19.635,0.0922,-0.214,-0.469,,,,,,
0.870,3.770,-9.189,-15.708,0.0900,-0.219,-0.375,,,,,,
0.880,3.677,-9.268,-7.854,0.0878,-0.221,-0.188,,,,,,
0.890,3.585,-9.346,-11.781,0.0856,-0.223,-0.281,,,,,,
0.900,3.490,-9.503,-11.781,0.0833,-0.227,-0.281,0.003,-0.016,-0.157,7.5000E-5,-3.750E-4,-0.004
0.910,3.394,-9.582,-7.854,0.0810,-0.229,-0.187,,,,,,
0.920,3.299,-9.660,-7.854,0.0787,-0.231,-0.187,,,,,,
0.930,3.201,-9.739,0.000,0.0764,-0.232,0.000,,,,,,
0.940,3.104,-9.660,1.066E-12,0.0741,-0.231,-3.469E-14,,,,,,
0.950,3.008,-9.739,-7.854,0.0718,-0.232,-0.188,0.002,-0.016,3.469E-16,3.7500E-5,-3.750E-4,8.132E-18
0.960,2.909,-9.817,7.854,0.0694,-0.234,0.188,,,,,,
0.970,2.812,-9.582,11.781,0.0671,-0.229,0.281,,,,,,
0.980,2.717,-9.582,0.000,0.0649,-0.229,0.000,,,,,,
0.990,2.620,-9.582,7.854,0.0625,-0.229,0.187,,,,,,
1.000,2.526,-9.425,7.854,0.0603,-0.225,0.187,0.002,-0.016,0.000,3.7500E-5,-3.750E-4,0.000
1.010,2.432,-9.425,0.000,0.0580,-0.225,0.000,,,,,,
1.020,2.337,-9.425,7.854,0.0558,-0.225,0.188,,,,,,
