运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.000,-0.013,,,-3.0000E-4,,,0.000,,,0.0000,,
0.025,-0.086,-2.985,,-0.0021,-0.071,,-0.008,-0.314,,-1.8750E-4,-0.008,
0.050,-0.162,-3.079,-3.142,-0.0039,-0.073,-0.075,-0.016,-0.314,0.628,-3.7500E-4,-0.008,0.015
0.075,-0.240,-3.142,-1.885,-0.0057,-0.075,-0.045,-0.024,-0.283,1.257,-5.6250E-4,-0.007,0.030
0.100,-0.319,-3.173,-1.257,-0.0076,-0.076,-0.030,-0.030,-0.251,0.628,-7.1250E-4,-0.006,0.015
0.125,-0.399,-3.204,1.776E-14,-0.0095,-0.076,8.327E-16,-0.036,-0.251,0.628,-8.6250E-4,-0.006,0.015
0.150,-0.479,-3.173,1.885,-0.0114,-0.076,0.045,-0.042,-0.220,1.257,-0.0010,-0.005,0.030
0.175,-0.558,-3.110,1.885,-0.0133,-0.074,0.045,-0.047,-0.188,1.257,-0.0011,-0.004,0.030
0.200,-0.635,-3.079,2.513,-0.0151,-0.074,0.060,-0.052,-0.157,1.885,-0.0012,-0.004,0.045
0.225,-0.712,-2.985,4.398,-0.0170,-0.071,0.105,-0.055,-0.094,1.885,-0.0013,-0.002,0.045
0.250,-0.784,-2.859,5.027,-0.0187,-0.068,0.120,-0.057,-0.063,0.628,-0.0013,-0.001,0.015
0.275,-0.855,-2.733,6.283,-0.0204,-0.065,0.150,-0.058,-0.063,0.628,-0.0014,-0.001,0.015
0.300,-0.920,-2.545,7.540,-0.0220,-0.061,0.180,-0.060,-0.031,1.257,-0.0014,-7.500E-4,0.030
0.325,-0.982,-2.356,8.168,-0.0234,-0.056,0.195,-0.060,0.000,1.257,-0.0014,0.000,0.030
0.350,-1.038,-2.136,8.796,-0.0248,-0.051,0.210,-0.060,0.031,1.257,-0.0014,7.500E-4,0.030
0.375,-1.089,-1.916,9.425,-0.0260,-0.046,0.225,-0.058,0.063,0.628,-0.0014,0.002,0.015
0.400,-1.134,-1.665,10.681,-0.0271,-0.040,0.255,-0.057,0.063,0.628,-0.0013,0.001,0.015
0.425,-1.172,-1.382,10.681,-0.0280,-0.033,0.255,-0.055,0.094,1.257,-0.0013,0.002,0.030
0.450,-1.203,-1.131,11.310,-0.0287,-0.027,0.270,-0.052,0.126,0.628,-0.0012,0.003,0.015
0.475,-1.228,-0.817,12.566,-0.0293,-0.020,0.300,-0.049,0.126,1.257,-0.0012,0.003,0.030
0.500,-1.244,-0.503,11.310,-0.0297,-0.012,0.270,-0.046,0.188,1.885,-0.0011,0.004,0.045
0.525,-1.253,-0.251,11.310,-0.0299,-0.006,0.270,-0.039,0.220,1.257,-9.3750E-4,0.005,0.030
0.550,-1.257,0.063,12.566,-0.0300,0.002,0.300,-0.035,0.251,1.257,-8.2500E-4,0.006,0.030
0.575,-1.250,0.377,11.938,-0.0299,0.009,0.285,-0.027,0.283,0.628,-6.3750E-4,0.007,0.015
