运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.000,0.013,,,3.0000E-4,,,-0.002,,,-3.7500E-5,,
0.025,0.097,3.299,,0.0023,0.079,,-0.006,-0.283,,-1.5000E-4,-0.007,
0.050,0.178,3.016,-11.938,0.0042,0.072,-0.285,-0.016,-0.346,-0.628,-3.7500E-4,-0.008,-0.015
0.075,0.248,2.702,-13.195,0.0059,0.064,-0.315,-0.024,-0.314,0.628,-5.6250E-4,-0.008,0.015
0.100,0.313,2.356,-15.080,0.0075,0.056,-0.360,-0.031,-0.314,2.220E-15,-7.5000E-4,-0.008,1.041E-16
0.125,0.366,1.948,-15.708,0.0087,0.046,-0.375,-0.039,-0.314,3.331E-15,-9.3750E-4,-0.007,1.214E-16
0.150,0.410,1.571,-15.080,0.0098,0.037,-0.360,-0.047,-0.314,0.628,-0.0011,-0.007,0.015
0.175,0.445,1.194,-15.708,0.0106,0.028,-0.375,-0.055,-0.283,1.257,-0.0013,-0.007,0.030
0.200,0.470,0.785,-17.593,0.0112,0.019,-0.420,-0.061,-0.251,0.628,-0.0015,-0.006,0.015
0.225,0.484,0.314,-18.221,0.0115,0.007,-0.435,-0.068,-0.251,6.661E-15,-0.0016,-0.006,6.939E-17
0.250,0.485,-0.126,-16.965,0.0116,-0.003,-0.405,-0.074,-0.251,0.628,-0.0018,-0.006,0.015
0.275,0.478,-0.534,-16.336,0.0114,-0.013,-0.390,-0.080,-0.220,1.885,-0.0019,-0.005,0.045
0.300,0.459,-0.942,-16.336,0.0109,-0.023,-0.390,-0.085,-0.157,2.513,-0.0020,-0.004,0.060
0.325,0.430,-1.351,-16.965,0.0103,-0.032,-0.405,-0.088,-0.094,1.885,-0.0021,-0.002,0.045
