in s,C1 in V
-1.9200000E-04,2.028661809706E+00
-1.9199040E-04,2.028304402598E+00
-1.9198080E-04,2.028893701110E+00
-1.9197120E-04,2.027862747286E+00
-1.9196160E-04,2.028779857468E+00
-1.9195200E-04,2.028204059557E+00
-1.9194240E-04,2.028485126917E+00
-1.9193280E-04,2.027643952009E+00
-1.9192320E-04,2.028547626466E+00
-1.9191360E-04,2.027408568517E+00
-1.9190400E-04,2.028479224809E+00
-1.9189440E-04,2.028401947163E+00
-1.9188480E-04,2.028352994670E+00
-1.9187520E-04,2.028050237123E+00
-1.9186560E-04,2.028837995913E+00
-1.9185600E-04,2.027990287759E+00
-1.9184640E-04,2.028314965360E+00
-1.9183680E-04,2.028224400964E+00
-1.9182720E-04,2.028346803423E+00
-1.9181760E-04,2.027742832538E+00
-1.9180800E-04,2.028341294576E+00
-1.9179840E-04,2.027950337001E+00
-1.9178880E-04,2.028354982596E+00
-1.9177920E-04,2.027821237103E+00
-1.9176960E-04,2.027858438243E+00
-1.9176000E-04,2.028294446145E+00
-1.9175040E-04,2.028201164168E+00
-1.9174080E-04,2.027593979121E+00
-1.9173120E-04,2.028278572366E+00
-1.9172160E-04,2.027818863124E+00
-1.9171200E-04,2.027754835386E+00
-1.9170240E-04,2.027892556575E+00
-1.9169280E-04,2.028204576962E+00
-1.9168320E-04,2.027376245886E+00
-1.9167360E-04,2.028196120665E+00
-1.9166400E-04,2.027701397643E+00
-1.9165440E-04,2.028446096436E+00
-1.9164480E-04,2.027578552265E+00
-1.9163520E-04,2.027955143426E+00
-1.9162560E-04,2.027646417294E+00
-1.9161600E-04,2.028062476248E+00
-1.9160640E-04,2.027620555826E+00
-1.9159680E-04,2.027785134048E+00
-1.9158720E-04,2.027150213339E+00
-1.9157760E-04,2.028578254313E+00
-1.9156800E-04,2.027730156903E+00
-1.9155840E-04,2.028067791269E+00
-1.9154880E-04,2.027501663875E+00
-1.9153920E-04,2.027969607555E+00
-1.9152960E-04,2.027202379194E+00
-1.9152000E-04,2.027808296357E+00
-1.9151040E-04,2.027675448873E+00
-1.9150080E-04,2.028712186266E+00
-1.9149120E-04,2.027414250367E+00
-1.9148160E-04,2.027709818699E+00
-1.9147200E-04,2.027722474311E+00
-1.9146240E-04,2.027788810350E+00
-1.9145280E-04,2.028805685297E+00
-1.9144320E-04,2.027694380630E+00
-1.9143360E-04,2.027520718977E+00
-1.9142400E-04,2.028120633915E+00
-1.9141440E-04,2.027649382364E+00
-1.9140480E-04,2.027898497928E+00
-1.9139520E-04,2.027817087446E+00
-1.9138560E-04,2.028450300556E+00
-1.9137600E-04,2.027784486089E+00
-1.9136640E-04,2.027576731734E+00
-1.9135680E-04,2.028287790355E+00
-1.9134720E-04,2.028077277571E+00
-1.9133760E-04,2.026902315200E+00
-1.9132800E-04,2.028335587897E+00
-1.9131840E-04,2.028334283170E+00
-1.9130880E-04,2.028817875564E+00
-1.9129920E-04,2.027696678520E+00
-1.9128960E-04,2.028523230713E+00
-1.9128000E-04,2.027158567917E+00
-1.9127040E-04,2.027840687067E+00
-1.9126080E-04,2.028687682387E+00
-1.9125120E-04,2.028840697475E+00
-1.9124160E-04,2.027846855887E+00
-1.9123200E-04,2.028430547838E+00
-1.9122240E-04,2.027524818976E+00
-1.9121280E-04,2.028274074302E+00
-1.9120320E-04,2.027346945193E+00
-1.9119360E-04,2.028189014748E+00
-1.9118400E-04,2.027942881875E+00
-1.9117440E-04,2.028277810675E+00
-1.9116480E-04,2.027951295723E+00
-1.9115520E-04,2.028386107825E+00
-1.9114560E-04,2.027756815303E+00
-1.9113600E-04,2.028218547713E+00
-1.9112640E-04,2.028184176285E+00
-1.9111680E-04,2.027371999316E+00
-1.9110720E-04,2.027777032566E+00
-1.9109760E-04,2.028075888746E+00
-1.9108800E-04,2.027406139274E+00
-1.9107840E-04,2.028565353614E+00
-1.9106880E-04,2.027080558215E+00
-1.9105920E-04,2.028000041575E+00
-1.9104960E-04,2.026809713219E+00
-1.9104000E-04,2.027589202330E+00
-1.9103040E-04,2.027786540494E+00
-1.9102080E-04,2.028136668682E+00
-1.9101120E-04,2.027253055305E+00
-1.9100160E-04,2.028070919730E+00
-1.9099200E-04,2.027537486602E+00
-1.9098240E-04,2.027910746664E+00
-1.9097280E-04,2.028036258363E+00
-1.9096320E-04,2.027564338830E+00
-1.9095360E-04,2.027290801082E+00
-1.9094400E-04,2.028218354687E+00
-1.9093440E-04,2.027630312045E+00
-1.9092480E-04,2.028495350883E+00
-1.9091520E-04,2.027166074302E+00
-1.9090560E-04,2.027865669106E+00
-1.9089600E-04,2.027314733092E+00
-1.9088640E-04,2.027757520929E+00
-1.9087680E-04,2.027081437644E+00
-1.9086720E-04,2.027365047180E+00
-1.9085760E-04,2.026881113585E+00
-1.9084800E-04,2.028747840796E+00
