t_e,t_g,U,a(m),U_0(V),q(C),n
4.34,5.44,534.5,6.938216530664902e-07,237.19120654396727,2.835988268659603e-19,2.0
8.5,10.75,593.1,4.818162732527605e-07,261.88831168831166,8.601768351593627e-20,1.0
3.25,0.31,87.2,3.0362696026259134e-06,79.6067415730337,7.081587299531398e-17,443.0
6.0,10.56,218.5,4.864959844883173e-07,79.16666666666666,2.929239534104744e-19,2.0
3.12,5.22,20.0,7.091403406048966e-07,7.482014388489208,9.599254411707627e-18,60.0
3.75,5.65,67.7,6.800419972144489e-07,27.007978723404257,2.345171382222273e-18,15.0
3.37,10.03,49.9,5.002455920877833e-07,12.549477611940299,2.009017083321406e-18,13.0
4.4,6.06,15.0,6.552334970693927e-07,6.309751434034417,8.979155436506022e-18,56.0
1.97,12.19,59.5,4.499843423954205e-07,8.27789548022599,2.2168266553669813e-18,14.0
2.28,2.79,263.2,9.849565342086375e-07,118.36213017751476,1.6259151979739891e-18,10.0
4.18,5.05,263.2,7.216569497367235e-07,119.19566630552545,6.3502583695081165e-19,4.0
9.87,10.19,263.2,4.959819150293114e-07,129.50069790628115,1.897513527247702e-19,1.0
8.5,12.25,263.2,4.4878119140033753e-07,107.81686746987951,1.68840526645279e-19,1.0
6.84,13.41,263.2,4.2713171923698767e-07,88.90311111111112,1.7653384416964576e-19,1.0
8.28,11.4,263.2,4.667013602178035e-07,110.73658536585366,1.8487812950772473e-19,1.0
9.5,11.22,263.2,4.7075523045807565e-07,120.67567567567568,1.7411059082831868e-19,1.0
1.4,2.75,263.2,9.9238892515249e-07,88.79036144578312,2.216865625400496e-18,14.0
2.07,5.69,263.2,6.775041654004757e-07,70.20927835051546,8.920739676972798e-19,6.0
2.37,6.69,448.0,6.216552666451863e-07,117.19205298013244,4.128669850669675e-19,3.0
1.16,12.34,415.0,4.4699294482069027e-07,35.65925925925926,5.044163486735381e-19,3.0
5.57,21.28,415.0,3.3067976833805455e-07,86.09124767225326,8.459084017362276e-20,1.0
19.47,4.47,415.0,7.696083071107607e-07,337.5125313283208,2.7200620074790446e-19,2.0
