运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.000,1.015,7.618,23.562,0.0242,0.182,0.563,0.000,0.000,0.000,0.0000,0.000,0.000
0.010,1.092,7.933,27.489,0.0261,0.189,0.656,,,,,,
0.020,1.173,8.168,15.708,0.0280,0.195,0.375,,,,,,
0.030,1.255,8.247,15.708,0.0300,0.197,0.375,,,,,,
0.040,1.338,8.482,23.562,0.0320,0.202,0.563,,,,,,
0.050,1.425,8.718,15.708,0.0340,0.208,0.375,0.000,0.000,0.000,0.0000,0.000,0.000
0.060,1.513,8.796,11.781,0.0361,0.210,0.281,,,,,,
0.070,1.601,8.954,15.708,0.0382,0.214,0.375,,,,,,
0.080,1.692,9.111,7.854,0.0404,0.217,0.187,,,,,,
0.090,1.783,9.111,3.927,0.0426,0.217,0.094,,,,,,
0.100,1.874,9.189,11.781,0.0447,0.219,0.281,0.000,0.000,0.000,0.0000,0.000,0.000
0.110,1.967,9.346,7.854,0.0469,0.223,0.188,,,,,,
0.120,2.061,9.346,1.243E-12,0.0492,0.223,3.192E-14,,,,,,
0.130,2.154,9.346,3.927,0.0514,0.223,0.094,,,,,,
0.140,2.248,9.425,3.927,0.0537,0.225,0.094,,,,,,
0.150,2.342,9.425,-3.927,0.0559,0.225,-0.094,0.000,0.000,0.157,0.0000,0.000,0.004
0.160,2.436,9.346,0.000,0.0582,0.223,0.000,,,,,,
0.170,2.529,9.425,15.708,0.0604,0.225,0.375,,,,,,
0.180,2.625,9.660,7.854,0.0627,0.231,0.187,,,,,,
0.190,2.722,9.582,-23.562,0.0650,0.229,-0.562,,,,,,
0.200,2.816,9.189,-19.635,0.0672,0.219,-0.469,0.000,0.016,0.157,0.0000,3.750E-4,0.004
0.210,2.906,9.189,11.781,0.0694,0.219,0.281,,,,,,
0.220,3.000,9.425,-1.332E-12,0.0716,0.225,-3.053E-14,,,,,,
0.230,3.094,9.189,-23.562,0.0739,0.219,-0.563,,,,,,
0.240,3.184,8.954,-7.854,0.0760,0.214,-0.187,,,,,,
0.250,3.274,9.032,-3.927,0.0781,0.216,-0.094,0.002,0.016,-0.157,3.7500E-5,3.750E-4,-0.004
0.260,3.365,8.875,-27.489,0.0803,0.212,-0.656,,,,,,
0.270,3.451,8.482,-23.562,0.0824,0.202,-0.562,,,,,,
0.280,3.534,8.404,-7.854,0.0844,0.201,-0.188,,,,,,
0.290,3.619,8.325,-23.562,0.0864,0.199,-0.563,,,,,,
0.300,3.701,7.933,-27.489,0.0883,0.189,-0.656,0.002,0.000,-0.157,3.7500E-5,0.000,-0.004
0.310,3.778,7.775,-7.854,0.0902,0.186,-0.187,,,,,,
0.320,3.856,7.775,-19.635,0.0921,0.186,-0.469,,,,,,
0.330,3.933,7.383,-39.270,0.0939,0.176,-0.938,,,,,,
0.340,4.004,6.990,-23.562,0.0956,0.167,-0.562,,,,,,
0.350,4.073,6.912,-15.708,0.0972,0.165,-0.375,0.002,0.000,0.157,3.7500E-5,0.000,0.004
0.360,4.142,6.676,-31.416,0.0989,0.159,-0.750,,,,,,
0.370,4.207,6.283,-31.416,0.1004,0.150,-0.750,,,,,,
0.380,4.268,6.048,-23.562,0.1019,0.144,-0.563,,,,,,
0.390,4.328,5.812,-27.489,0.1033,0.139,-0.656,,,,,,
0.400,4.384,5.498,-31.416,0.1047,0.131,-0.750,0.002,0.016,0.157,3.7500E-5,3.750E-4,0.004
0.410,4.438,5.184,-27.489,0.1059,0.124,-0.656,,,,,,
0.420,4.488,4.948,-23.562,0.1071,0.118,-0.563,,,,,,
0.430,4.536,4.712,-35.343,0.1083,0.113,-0.844,,,,,,
0.440,4.582,4.241,-43.197,0.1094,0.101,-1.031,,,,,,
0.450,4.621,3.848,-31.416,0.1103,0.092,-0.750,0.003,0.016,-0.157,7.5000E-5,3.750E-4,-0.004
0.460,4.659,3.613,-27.489,0.1112,0.086,-0.656,,,,,,
0.470,4.694,3.299,-35.343,0.1120,0.079,-0.844,,,,,,
0.480,4.725,2.906,-39.270,0.1128,0.069,-0.938,,,,,,
0.490,4.752,2.513,-35.343,0.1134,0.060,-0.844,,,,,,
0.500,4.775,2.199,-31.416,0.1140,0.052,-0.750,0.003,0.000,-0.157,7.5000E-5,0.000,-0.004
0.510,4.796,1.885,-35.343,0.1145,0.045,-0.844,,,,,,
0.520,4.813,1.492,-39.270,0.1149,0.036,-0.937,,,,,,
0.530,4.825,1.100,-35.343,0.1152,0.026,-0.844,,,,,,
0.540,4.835,0.785,-31.416,0.1154,0.019,-0.750,,,,,,
0.550,4.841,0.471,-35.343,0.1156,0.011,-0.844,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.560,4.844,0.079,-39.270,0.1156,0.002,-0.937,,,,,,
0.570,4.843,-0.314,-35.343,0.1156,-0.007,-0.844,,,,,,
0.580,4.838,-0.628,-35.343,0.1155,-0.015,-0.844,,,,,,
0.590,4.830,-1.021,-35.343,0.1153,-0.024,-0.844,,,,,,
0.600,4.818,-1.335,-31.416,0.1150,-0.032,-0.750,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.610,4.803,-1.649,-39.270,0.1147,-0.039,-0.938,,,,,,
0.620,4.785,-2.121,-39.270,0.1142,-0.051,-0.937,,,,,,
0.630,4.761,-2.435,-27.489,0.1137,-0.058,-0.656,,,,,,
0.640,4.736,-2.670,-31.416,0.1131,-0.064,-0.750,,,,,,
0.650,4.708,-3.063,-35.343,0.1124,-0.073,-0.844,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.660,4.675,-3.377,-31.416,0.1116,-0.081,-0.750,,,,,,
0.670,4.640,-3.691,-31.416,0.1108,-0.088,-0.750,,,,,,
0.680,4.601,-4.006,-31.416,0.1098,-0.096,-0.750,,,,,,
0.690,4.560,-4.320,-31.416,0.1089,-0.103,-0.750,,,,,,
0.700,4.514,-4.634,-31.416,0.1078,-0.111,-0.750,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.710,4.467,-4.948,-27.489,0.1066,-0.118,-0.656,,,,,,
0.720,4.416,-5.184,-23.562,0.1054,-0.124,-0.563,,,,,,
0.730,4.364,-5.419,-27.489,0.1042,-0.129,-0.656,,,,,,
0.740,4.307,-5.733,-27.489,0.1028,-0.137,-0.656,,,,,,
0.750,4.249,-5.969,-23.562,0.1014,-0.143,-0.562,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.760,4.188,-6.205,-19.635,0.1000,-0.148,-0.469,,,,,,
0.770,4.125,-6.362,-15.708,0.0985,-0.152,-0.375,,,,,,
0.780,4.061,-6.519,-19.635,0.0969,-0.156,-0.469,,,,,,
0.790,3.995,-6.754,-27.489,0.0954,-0.161,-0.656,,,,,,
0.800,3.925,-7.069,-27.489,0.0937,-0.169,-0.656,0.003,0.000,-0.157,7.5000E-5,0.000,-0.004
0.810,3.853,-7.304,-15.708,0.0920,-0.174,-0.375,,,,,,
0.820,3.779,-7.383,-11.781,0.0902,-0.176,-0.281,,,,,,
0.830,3.706,-7.540,-19.635,0.0885,-0.180,-0.469,,,,,,
0.840,3.629,-7.775,-19.635,0.0866,-0.186,-0.469,,,,,,
0.850,3.550,-7.933,-11.781,0.0847,-0.189,-0.281,0.003,-0.016,-0.157,7.5000E-5,-3.750E-4,-0.004
0.860,3.470,-8.011,-7.854,0.0828,-0.191,-0.187,,,,,,
0.870,3.390,-8.090,-11.781,0.0809,-0.193,-0.281,,,,,,
0.880,3.308,-8.247,-11.781,0.0790,-0.197,-0.281,,,,,,
0.890,3.225,-8.325,-7.854,0.0770,-0.199,-0.188,,,,,,
0.900,3.142,-8.404,-11.781,0.0750,-0.201,-0.281,0.002,-0.016,-3.469E-16,3.7500E-5,-3.750E-4,-8.132E-18
0.910,3.057,-8.561,-3.927,0.0730,-0.204,-0.094,,,,,,
0.920,2.970,-8.482,7.854,0.0709,-0.202,0.187,,,,,,
0.930,2.887,-8.404,-7.854,0.0689,-0.201,-0.188,,,,,,
0.940,2.802,-8.639,-7.854,0.0669,-0.206,-0.187,,,,,,
0.950,2.714,-8.561,15.708,0.0648,-0.204,0.375,0.002,-0.016,-3.469E-16,3.7500E-5,-3.750E-4,-8.132E-18
0.960,2.631,-8.325,3.927,0.0628,-0.199,0.094,,,,,,
0.970,2.548,-8.482,-7.854,0.0608,-0.203,-0.187,,,,,,
0.980,2.461,-8.482,11.781,0.0588,-0.202,0.281,,,,,,
0.990,2.378,-8.247,11.781,0.0568,-0.197,0.281,,,,,,
1.000,2.297,-8.247,-3.927,0.0548,-0.197,-0.094,0.000,-0.016,0.157,0.0000,-3.750E-4,0.004
1.010,2.213,-8.325,7.854,0.0528,-0.199,0.187,,,,,,
1.020,2.130,-8.090,19.635,0.0508,-0.193,0.469,,,,,,
1.030,2.051,-7.933,3.927,0.0490,-0.189,0.094,,,,,,
1.040,1.971,-8.011,3.927,0.0471,-0.191,0.094,,,,,,
1.050,1.891,-7.854,19.635,0.0451,-0.187,0.469,0.000,0.000,0.157,0.0000,0.000,0.004
1.060,1.814,-7.618,11.781,0.0433,-0.182,0.281,,,,,,
1.070,1.739,-7.618,7.854,0.0415,-0.182,0.188,,,,,,
1.080,1.662,-7.461,23.562,0.0397,-0.178,0.563,,,,,,
1.090,1.590,-7.147,19.635,0.0379,-0.171,0.469,,,,,,
1.100,1.519,-7.069,7.854,0.0363,-0.169,0.187,0.000,0.000,0.000,0.0000,0.000,0.000
1.110,1.448,-6.990,19.635,0.0346,-0.167,0.469,,,,,,
1.120,1.379,-6.676,27.489,0.0329,-0.159,0.656,,,,,,
1.130,1.315,-6.440,15.708,0.0314,-0.154,0.375,,,,,,
1.140,1.250,-6.362,19.635,0.0298,-0.152,0.469,,,,,,
1.150,1.188,-6.048,27.489,0.0283,-0.144,0.656,0.000,0.000,0.000,0.0000,0.000,0.000
1.160,1.129,-5.812,19.635,0.0270,-0.139,0.469,,,,,,
1.170,1.071,-5.655,23.562,0.0256,-0.135,0.562,,,,,,
1.180,1.016,-5.341,31.416,0.0243,-0.128,0.750,,,,,,
1.190,0.964,-5.027,27.489,0.0230,-0.120,0.656,,,,,,
1.200,0.916,-4.791,23.562,0.0219,-0.114,0.562,0.000,0.000,0.000,0.0000,0.000,0.000
1.210,0.869,-4.555,23.562,0.0207,-0.109,0.563,,,,,,
1.220,0.825,-4.320,27.489,0.0197,-0.103,0.656,,,,,,
1.230,0.782,-4.006,31.416,0.0187,-0.096,0.750,,,,,,
1.240,0.745,-3.691,27.489,0.0178,-0.088,0.656,,,,,,
1.250,0.708,-3.456,27.489,0.0169,-0.082,0.656,0.000,0.000,0.000,0.0000,0.000,0.000
1.260,0.675,-3.142,31.416,0.0161,-0.075,0.750,,,,,,
1.270,0.646,-2.827,27.489,0.0154,-0.067,0.656,,,,,,
1.280,0.619,-2.592,23.562,0.0148,-0.062,0.562,,,,,,
1.290,0.594,-2.356,31.416,0.0142,-0.056,0.750,,,,,,
1.300,0.572,-1.963,39.270,0.0136,-0.047,0.937,0.000,0.000,0.000,0.0000,0.000,0.000
1.310,0.554,-1.571,35.343,0.0132,-0.037,0.844,,,,,,
1.320,0.540,-1.257,27.489,0.0129,-0.030,0.656,,,,,,
1.330,0.529,-1.021,31.416,0.0126,-0.024,0.750,,,,,,
1.340,0.520,-0.628,35.343,0.0124,-0.015,0.844,,,,,,
1.350,0.517,-0.314,23.562,0.0123,-0.008,0.562,0.000,0.000,0.000,0.0000,0.000,0.000
1.360,0.514,-0.157,31.416,0.0123,-0.004,0.750,,,,,,
1.370,0.514,0.314,39.270,0.0123,0.008,0.938,,,,,,
1.380,0.520,0.628,27.489,0.0124,0.015,0.656,,,,,,
1.390,0.526,0.864,31.416,0.0126,0.021,0.750,,,,,,
1.400,0.537,1.257,31.416,0.0128,0.030,0.750,0.000,0.000,0.000,0.0000,0.000,0.000
1.410,0.551,1.492,27.489,0.0132,0.036,0.656,,,,,,
1.420,0.567,1.806,31.416,0.0135,0.043,0.750,,,,,,
1.430,0.587,2.121,31.416,0.0140,0.051,0.750,,,,,,
1.440,0.609,2.435,31.416,0.0145,0.058,0.750,,,,,,
1.450,0.636,2.749,27.489,0.0152,0.066,0.656,0.000,0.000,0.000,0.0000,0.000,0.000
1.460,0.664,2.985,27.489,0.0159,0.071,0.656,,,,,,
1.470,0.696,3.299,31.416,0.0166,0.079,0.750,,,,,,
1.480,0.730,3.613,27.489,0.0174,0.086,0.656,,,,,,
1.490,0.768,3.848,23.562,0.0183,0.092,0.562,,,,,,
1.500,0.807,4.084,23.562,0.0193,0.097,0.562,0.000,0.000,0.000,0.0000,0.000,0.000
1.510,0.850,4.320,23.562,0.0203,0.103,0.562,,,,,,
1.520,0.894,4.555,23.562,0.0213,0.109,0.563,,,,,,
1.530,0.941,4.791,23.562,0.0225,0.114,0.562,,,,,,
1.540,0.990,5.027,23.562,0.0236,0.120,0.562,,,,,,
1.550,1.041,5.262,19.635,0.0249,0.126,0.469,0.000,0.000,0.000,0.0000,0.000,0.000
1.560,1.095,5.419,19.635,0.0261,0.129,0.469,,,,,,
1.570,1.150,5.655,23.562,0.0274,0.135,0.562,,,,,,
1.580,1.208,5.890,19.635,0.0288,0.141,0.469,,,,,,
1.590,1.268,6.048,19.635,0.0303,0.144,0.469,,,,,,
1.600,1.329,6.283,19.635,0.0317,0.150,0.469,0.000,0.000,0.000,0.0000,0.000,0.000
1.610,1.393,6.440,11.781,0.0333,0.154,0.281,,,,,,
1.620,1.458,6.519,15.708,0.0348,0.156,0.375,,,,,,
1.630,1.524,6.754,19.635,0.0364,0.161,0.469,,,,,,
1.640,1.593,6.912,7.854,0.0380,0.165,0.187,,,,,,
1.650,1.662,6.912,7.854,0.0397,0.165,0.187,0.000,0.000,0.000,0.0000,0.000,0.000
1.660,1.731,7.069,15.708,0.0413,0.169,0.375,,,,,,
1.670,1.803,7.226,7.854,0.0430,0.172,0.188,,,,,,
1.680,1.876,7.226,3.927,0.0448,0.173,0.094,,,,,,
1.690,1.948,7.304,11.781,0.0465,0.174,0.281,,,,,,
1.700,2.022,7.461,7.854,0.0483,0.178,0.187,0.000,0.000,0.000,0.0000,0.000,0.000
1.710,2.097,7.461,0.000,0.0501,0.178,0.000,,,,,,
1.720,2.171,7.461,3.927,0.0518,0.178,0.094,,,,,,
1.730,2.246,7.540,0.000,0.0536,0.180,0.000,,,,,,
1.740,2.322,7.461,-3.927,0.0554,0.178,-0.094,,,,,,
1.750,2.395,7.461,3.927,0.0572,0.178,0.094,0.000,0.000,0.157,0.0000,0.000,0.004
1.760,2.471,7.540,7.854,0.0590,0.180,0.188,,,,,,
1.770,2.546,7.618,7.854,0.0608,0.182,0.188,,,,,,
1.780,2.623,7.697,3.927,0.0626,0.184,0.094,,,,,,
1.790,2.700,7.697,-19.635,0.0645,0.184,-0.469,,,,,,
1.800,2.777,7.304,-23.562,0.0663,0.174,-0.562,0.000,0.016,0.157,0.0000,3.750E-4,0.004
1.810,2.846,7.226,15.708,0.0679,0.173,0.375,,,,,,
1.820,2.922,7.618,7.854,0.0697,0.182,0.187,,,,,,
1.830,2.999,7.383,-31.416,0.0716,0.176,-0.750,,,,,,
1.840,3.069,6.990,-11.781,0.0733,0.167,-0.281,,,,,,
1.850,3.138,7.147,7.854,0.0749,0.171,0.188,0.002,0.016,-0.157,3.7500E-5,3.750E-4,-0.004
1.860,3.212,7.147,-19.635,0.0767,0.171,-0.469,,,,,,
1.870,3.281,6.754,-23.562,0.0783,0.161,-0.563,,,,,,
1.880,3.347,6.676,-3.927,0.0799,0.159,-0.094,,,,,,
1.890,3.415,6.676,-11.781,0.0815,0.159,-0.281,,,,,,
1.900,3.481,6.440,-27.489,0.0831,0.154,-0.656,0.002,0.000,-0.157,3.7500E-5,0.000,-0.004
1.910,3.544,6.126,-19.635,0.0846,0.146,-0.469,,,,,,
1.920,3.603,6.048,-7.854,0.0860,0.144,-0.187,,,,,,
1.930,3.665,5.969,-19.635,0.0875,0.143,-0.469,,,,,,
1.940,3.723,5.655,-27.489,0.0889,0.135,-0.656,,,,,,
1.950,3.778,5.419,-19.635,0.0902,0.129,-0.469,0.002,0.000,0.000,3.7500E-5,0.000,0.000
1.960,3.831,5.262,-15.708,0.0915,0.126,-0.375,,,,,,
1.970,3.883,5.105,-23.562,0.0927,0.122,-0.562,,,,,,
1.980,3.933,4.791,-27.489,0.0939,0.114,-0.656,,,,,,
1.990,3.979,4.555,-19.635,0.0950,0.109,-0.469,,,,,,
2.000,4.024,4.398,-27.489,0.0961,0.105,-0.656,0.002,0.000,0.000,3.7500E-5,0.000,0.000
2.010,4.067,4.006,-31.416,0.0971,0.096,-0.750,,,,,,
2.020,4.104,3.770,-15.708,0.0980,0.090,-0.375,,,,,,
2.030,4.142,3.691,-23.562,0.0989,0.088,-0.562,,,,,,
2.040,4.178,3.299,-35.343,0.0998,0.079,-0.844,,,,,,
2.050,4.208,2.985,-19.635,0.1005,0.071,-0.469,0.002,0.000,0.000,3.7500E-5,0.000,0.000
2.060,4.238,2.906,-19.635,0.1012,0.069,-0.469,,,,,,
2.070,4.266,2.592,-35.343,0.1019,0.062,-0.844,,,,,,
2.080,4.290,2.199,-31.416,0.1024,0.052,-0.750,,,,,,
2.090,4.310,1.963,-23.562,0.1029,0.047,-0.562,,,,,,
2.100,4.329,1.728,-27.489,0.1034,0.041,-0.656,0.002,0.000,0.000,3.7500E-5,0.000,0.000
2.110,4.345,1.414,-31.416,0.1037,0.034,-0.750,,,,,,
2.120,4.357,1.100,-27.489,0.1040,0.026,-0.656,,,,,,
2.130,4.367,0.864,-23.562,0.1043,0.021,-0.563,,,,,,
2.140,4.375,0.628,-31.416,0.1044,0.015,-0.750,,,,,,
2.150,4.379,0.236,-31.416,0.1046,0.006,-0.750,0.002,0.000,0.000,3.7500E-5,0.000,0.000
2.160,4.379,0.000,-23.562,0.1046,0.000,-0.563,,,,,,
2.170,4.379,-0.236,-31.416,0.1046,-0.006,-0.750,,,,,,
2.180,4.375,-0.628,-31.416,0.1044,-0.015,-0.750,,,,,,
2.190,4.367,-0.864,-23.562,0.1043,-0.021,-0.563,,,,,,
2.200,4.357,-1.100,-27.489,0.1040,-0.026,-0.656,0.002,0.000,0.000,3.7500E-5,0.000,0.000
2.210,4.345,-1.414,-27.489,0.1037,-0.034,-0.656,,,,,,
2.220,4.329,-1.649,-27.489,0.1034,-0.039,-0.656,,,,,,
2.230,4.312,-1.963,-27.489,0.1029,-0.047,-0.656,,,,,,
2.240,4.290,-2.199,-23.562,0.1024,-0.052,-0.562,,,,,,
2.250,4.268,-2.435,-27.489,0.1019,-0.058,-0.656,0.002,0.000,0.000,3.7500E-5,0.000,0.000
2.260,4.241,-2.749,-27.489,0.1013,-0.066,-0.656,,,,,,
2.270,4.213,-2.985,-23.562,0.1006,-0.071,-0.562,,,,,,
2.280,4.181,-3.220,-23.562,0.0998,-0.077,-0.562,,,,,,
2.290,4.148,-3.456,-23.562,0.0990,-0.082,-0.563,,,,,,
