运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.000,0.008,,,1.8750E-4,,,0.000,,,0.0000,,
0.025,0.050,1.571,,0.0012,0.037,,-0.008,-0.314,,-1.8750E-4,-0.008,
0.050,0.086,1.319,-10.681,0.0021,0.032,-0.255,-0.016,-0.346,0.000,-3.7500E-4,-0.008,3.469E-17
0.075,0.116,1.037,-11.310,0.0028,0.025,-0.270,-0.025,-0.314,1.257,-6.0000E-4,-0.007,0.030
0.100,0.138,0.754,-11.310,0.0033,0.018,-0.270,-0.031,-0.283,0.628,-7.5000E-4,-0.007,0.015
0.125,0.154,0.471,-12.566,0.0037,0.011,-0.300,-0.039,-0.283,0.628,-9.3750E-4,-0.007,0.015
0.150,0.162,0.126,-13.195,0.0039,0.003,-0.315,-0.046,-0.251,1.257,-0.0011,-0.006,0.030
0.175,0.160,-0.188,-11.938,0.0038,-0.005,-0.285,-0.052,-0.220,1.257,-0.0012,-0.005,0.030
0.200,0.152,-0.471,-11.310,0.0036,-0.011,-0.270,-0.057,-0.188,1.257,-0.0013,-0.004,0.030
0.225,0.137,-0.754,-11.310,0.0033,-0.018,-0.270,-0.061,-0.157,1.885,-0.0015,-0.004,0.045
0.250,0.115,-1.037,-11.938,0.0027,-0.025,-0.285,-0.064,-0.094,1.885,-0.0015,-0.002,0.045
0.275,0.085,-1.351,-11.310,0.0020,-0.032,-0.270,-0.066,-0.063,0.628,-0.0016,-0.001,0.015
0.300,0.047,-1.602,-9.425,0.0011,-0.038,-0.225,-0.068,-0.063,0.628,-0.0016,-0.002,0.015
0.325,0.005,-1.822,-9.425,1.1250E-4,-0.044,-0.225,-0.069,-0.031,1.257,-0.0016,-7.500E-4,0.030
0.350,-0.044,-2.073,-9.425,-0.0011,-0.050,-0.225,-0.069,0.000,1.257,-0.0016,0.000,0.030
0.375,-0.099,-2.293,-8.168,-0.0024,-0.055,-0.195,-0.069,0.031,1.257,-0.0016,7.500E-4,0.030
0.400,-0.159,-2.482,-6.912,-0.0038,-0.059,-0.165,-0.068,0.063,1.257,-0.0016,0.001,0.030
0.425,-0.223,-2.639,-5.655,-0.0053,-0.063,-0.135,-0.066,0.094,1.885,-0.0016,0.002,0.045
0.450,-0.291,-2.765,-4.398,-0.0069,-0.066,-0.105,-0.063,0.157,1.885,-0.0015,0.004,0.045
0.475,-0.361,-2.859,-3.142,-0.0086,-0.068,-0.075,-0.058,0.188,0.628,-0.0014,0.004,0.015
0.500,-0.434,-2.922,-1.885,-0.0104,-0.070,-0.045,-0.053,0.188,0.628,-0.0013,0.004,0.015
0.525,-0.507,-2.953,-0.628,-0.0121,-0.070,-0.015,-0.049,0.220,1.885,-0.0012,0.005,0.045
0.550,-0.581,-2.953,-1.776E-14,-0.0139,-0.070,0.000,-0.042,0.283,1.257,-0.0010,0.007,0.030
0.575,-0.655,-2.953,1.257,-0.0156,-0.070,0.030,-0.035,0.283,0.000,-8.2500E-4,0.007,1.735E-17
0.600,-0.729,-2.890,2.513,-0.0174,-0.069,0.060,-0.028,0.283,1.257,-6.7500E-4,0.007,0.030
0.625,-0.800,-2.827,3.142,-0.0191,-0.068,0.075,-0.020,0.346,1.257,-4.8750E-4,0.008,0.030
0.650,-0.870,-2.733,4.398,-0.0208,-0.065,0.105,-0.011,0.346,-1.332E-14,-2.6250E-4,0.008,-3.469E-16
0.675,-0.936,-2.608,5.655,-0.0224,-0.062,0.135,-0.003,0.346,-1.554E-14,-7.5000E-5,0.008,-3.816E-16
0.700,-1.001,-2.450,6.912,-0.0239,-0.058,0.165,0.006,0.346,-1.257,1.5000E-4,0.008,-0.030
0.725,-1.059,-2.262,7.540,-0.0253,-0.054,0.180,0.014,0.283,-1.885,3.3750E-4,0.007,-0.045
0.750,-1.114,-2.073,8.796,-0.0266,-0.050,0.210,0.020,0.251,-0.628,4.8750E-4,0.006,-0.015
0.775,-1.162,-1.822,10.053,-0.0278,-0.043,0.240,0.027,0.251,-1.110E-14,6.3750E-4,0.006,-2.602E-16
0.800,-1.205,-1.571,10.053,-0.0288,-0.037,0.240,0.033,0.251,0.000,7.8750E-4,0.006,0.000
0.825,-1.241,-1.319,10.053,-0.0296,-0.031,0.240,0.039,0.251,1.110E-14,9.3750E-4,0.006,2.602E-16
0.850,-1.271,-1.068,10.681,-0.0303,-0.026,0.255,0.046,0.251,-0.628,0.0011,0.006,-0.015
0.875,-1.294,-0.785,11.938,-0.0309,-0.019,0.285,0.052,0.220,-1.257,0.0012,0.005,-0.030
0.900,-1.310,-0.471,11.938,-0.0313,-0.011,0.285,0.057,0.188,-0.628,0.0013,0.004,-0.015
0.925,-1.318,-0.188,11.938,-0.0315,-0.005,0.285,0.061,0.188,-0.628,0.0015,0.004,-0.015
0.950,-1.319,0.126,12.566,-0.0315,0.003,0.300,0.066,0.157,-1.257,0.0016,0.004,-0.030
0.975,-1.312,0.440,11.938,-0.0313,0.011,0.285,0.069,0.126,-0.628,0.0016,0.003,-0.015
1.000,-1.297,0.723,11.310,-0.0310,0.017,0.270,0.072,0.126,-0.628,0.0017,0.003,-0.015
1.025,-1.275,1.005,11.310,-0.0305,0.024,0.270,0.075,0.094,-1.257,0.0018,0.002,-0.030
1.050,-1.247,1.288,11.310,-0.0298,0.031,0.270,0.077,0.063,-0.628,0.0018,0.002,-0.015
1.075,-1.211,1.571,10.053,-0.0289,0.037,0.240,0.079,0.063,-0.628,0.0019,0.001,-0.015
1.100,-1.169,1.791,8.796,-0.0279,0.043,0.210,0.080,0.031,-1.257,0.0019,7.500E-4,-0.030
1.125,-1.122,2.011,8.796,-0.0268,0.048,0.210,0.080,0.000,-1.257,0.0019,0.000,-0.030
1.150,-1.068,2.231,8.796,-0.0255,0.053,0.210,0.080,-0.031,-1.257,0.0019,-7.500E-4,-0.030
1.175,-1.010,2.450,7.540,-0.0241,0.058,0.180,0.079,-0.063,-1.257,0.0019,-0.001,-0.030
1.200,-0.946,2.608,5.027,-0.0226,0.062,0.120,0.077,-0.094,-1.257,0.0018,-0.002,-0.030
1.225,-0.880,2.702,3.770,-0.0210,0.065,0.090,0.074,-0.126,-1.257,0.0018,-0.003,-0.030
1.250,-0.811,2.796,3.770,-0.0194,0.067,0.090,0.071,-0.157,-0.628,0.0017,-0.004,-0.015
1.275,-0.740,2.890,3.142,-0.0177,0.069,0.075,0.066,-0.157,-2.776E-15,0.0016,-0.004,0.000
1.300,-0.666,2.953,1.257,-0.0159,0.070,0.030,0.063,-0.157,-1.257,0.0015,-0.004,-0.030
1.325,-0.592,2.953,0.628,-0.0141,0.070,0.015,0.058,-0.220,-1.257,0.0014,-0.005,-0.030
1.350,-0.518,2.985,-4.441E-14,-0.0124,0.071,0.000,0.052,-0.220,0.000,0.0012,-0.005,0.000
1.375,-0.443,2.953,-2.513,-0.0106,0.070,-0.060,0.047,-0.220,1.943E-14,0.0011,-0.005,4.684E-16
1.400,-0.371,2.859,-3.142,-0.0089,0.068,-0.075,0.041,-0.220,0.000,9.7500E-4,-0.005,0.000
1.425,-0.300,2.796,-3.770,-0.0072,0.067,-0.090,0.036,-0.220,-0.628,8.6250E-4,-0.005,-0.015
1.450,-0.231,2.670,-6.283,-0.0055,0.064,-0.150,0.030,-0.251,-0.628,7.1250E-4,-0.006,-0.015
1.475,-0.167,2.482,-6.912,-0.0040,0.059,-0.165,0.024,-0.251,-0.628,5.6250E-4,-0.006,-0.015
1.500,-0.107,2.325,-7.540,-0.0026,0.056,-0.180,0.017,-0.283,-1.257,4.1250E-4,-0.007,-0.030
1.525,-0.050,2.105,-9.425,-0.0012,0.050,-0.225,0.009,-0.314,-0.628,2.2500E-4,-0.007,-0.015
1.550,-0.002,1.854,-9.425,-3.7500E-5,0.044,-0.225,0.002,-0.314,-0.628,3.7500E-5,-0.007,-0.015
1.575,0.042,1.634,-9.425,0.0010,0.039,-0.225,-0.006,-0.346,-0.628,-1.5000E-4,-0.008,-0.015
1.600,0.080,1.382,-10.681,0.0019,0.033,-0.255,-0.016,-0.346,0.628,-3.7500E-4,-0.008,0.015
1.625,0.112,1.100,-11.938,0.0027,0.026,-0.285,-0.024,-0.314,1.257,-5.6250E-4,-0.007,0.030
1.650,0.135,0.785,-11.938,0.0032,0.019,-0.285,-0.031,-0.283,1.257,-7.5000E-4,-0.007,0.030
1.675,0.151,0.503,-11.310,0.0036,0.012,-0.270,-0.038,-0.251,0.628,-9.0000E-4,-0.006,0.015
1.700,0.160,0.220,-11.938,0.0038,0.005,-0.285,-0.044,-0.251,0.628,-0.0010,-0.006,0.015
1.725,0.162,-0.094,-13.195,0.0039,-0.002,-0.315,-0.050,-0.220,0.628,-0.0012,-0.005,0.015
1.750,0.156,-0.440,-12.566,0.0037,-0.010,-0.300,-0.055,-0.220,0.628,-0.0013,-0.005,0.015
1.775,0.140,-0.723,-11.310,0.0033,-0.017,-0.270,-0.061,-0.188,2.513,-0.0015,-0.004,0.060
1.800,0.119,-1.005,-11.310,0.0028,-0.024,-0.270,-0.064,-0.094,2.513,-0.0015,-0.002,0.060
1.825,0.090,-1.288,-10.681,0.0021,-0.031,-0.255,-0.066,-0.063,0.628,-0.0016,-0.001,0.015
1.850,0.055,-1.539,-10.681,0.0013,-0.037,-0.255,-0.068,-0.063,0.628,-0.0016,-0.002,0.015
1.875,0.013,-1.822,-10.053,3.0000E-4,-0.043,-0.240,-0.069,-0.031,1.257,-0.0016,-7.500E-4,0.030
1.900,-0.036,-2.042,-8.168,-8.6250E-4,-0.049,-0.195,-0.069,0.000,1.257,-0.0016,0.000,0.030
1.925,-0.090,-2.231,-7.540,-0.0021,-0.053,-0.180,-0.069,0.031,1.257,-0.0016,7.500E-4,0.030
1.950,-0.148,-2.419,-7.540,-0.0035,-0.058,-0.180,-0.068,0.063,1.257,-0.0016,0.001,0.030
1.975,-0.210,-2.608,-6.912,-0.0050,-0.062,-0.165,-0.066,0.094,1.257,-0.0016,0.002,0.030
2.000,-0.278,-2.765,-4.398,-0.0066,-0.066,-0.105,-0.063,0.126,1.257,-0.0015,0.003,0.030
2.025,-0.349,-2.827,-2.513,-0.0083,-0.067,-0.060,-0.060,0.157,1.885,-0.0014,0.004,0.045
2.050,-0.419,-2.890,-3.142,-0.0100,-0.069,-0.075,-0.055,0.220,1.885,-0.0013,0.005,0.045
2.075,-0.493,-2.985,-1.885,-0.0118,-0.071,-0.045,-0.049,0.251,0.628,-0.0012,0.006,0.015
2.100,-0.569,-2.985,1.257,-0.0136,-0.071,0.030,-0.042,0.251,0.628,-0.0010,0.006,0.015
2.125,-0.642,-2.922,1.885,-0.0153,-0.070,0.045,-0.036,0.283,0.628,-8.6250E-4,0.007,0.015
2.150,-0.715,-2.890,1.257,-0.0171,-0.069,0.030,-0.028,0.283,0.628,-6.7500E-4,0.007,0.015
2.175,-0.787,-2.859,2.513,-0.0188,-0.068,0.060,-0.022,0.314,1.257,-5.2500E-4,0.007,0.030
2.200,-0.858,-2.765,4.398,-0.0205,-0.066,0.105,-0.013,0.346,0.628,-3.0000E-4,0.008,0.015
2.225,-0.925,-2.639,5.655,-0.0221,-0.063,0.135,-0.005,0.346,0.000,-1.1250E-4,0.008,0.000
2.250,-0.990,-2.482,6.912,-0.0236,-0.059,0.165,0.005,0.346,-1.257,1.1250E-4,0.008,-0.030
2.275,-1.049,-2.293,7.540,-0.0251,-0.055,0.180,0.013,0.283,-1.885,3.0000E-4,0.007,-0.045
2.300,-1.104,-2.105,8.168,-0.0264,-0.050,0.195,0.019,0.251,-0.628,4.5000E-4,0.006,-0.015
2.325,-1.155,-1.885,9.425,-0.0276,-0.045,0.225,0.025,0.251,0.628,6.0000E-4,0.006,0.015
2.350,-1.199,-1.634,10.681,-0.0286,-0.039,0.255,0.031,0.283,-4.441E-14,7.5000E-4,0.007,-1.023E-15
2.375,-1.236,-1.351,10.681,-0.0295,-0.032,0.255,0.039,0.251,-1.257,9.3750E-4,0.006,-0.030
