运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.000,-0.013,,,-3.0000E-4,,,-0.003,,,-7.5000E-5,,
0.025,-0.041,-1.162,,-9.7500E-4,-0.028,,-0.008,-0.188,,-1.8750E-4,-0.004,
0.050,-0.071,-1.225,-2.513,-0.0017,-0.029,-0.060,-0.013,-0.220,-0.628,-3.0000E-4,-0.005,-0.015
0.075,-0.102,-1.288,-2.513,-0.0024,-0.031,-0.060,-0.019,-0.220,-1.665E-15,-4.5000E-4,-0.005,0.000
0.100,-0.135,-1.351,-1.885,-0.0032,-0.032,-0.045,-0.024,-0.220,-1.257,-5.6250E-4,-0.005,-0.030
0.125,-0.170,-1.382,-1.257,-0.0040,-0.033,-0.030,-0.030,-0.283,-1.885,-7.1250E-4,-0.007,-0.045
0.150,-0.204,-1.414,-1.257,-0.0049,-0.034,-0.030,-0.038,-0.314,-0.628,-9.0000E-4,-0.007,-0.015
0.175,-0.240,-1.445,-0.628,-0.0057,-0.035,-0.015,-0.046,-0.314,0.628,-0.0011,-0.008,0.015
0.200,-0.276,-1.445,0.628,-0.0066,-0.035,0.015,-0.053,-0.283,0.628,-0.0013,-0.007,0.015
0.225,-0.313,-1.414,0.628,-0.0075,-0.034,0.015,-0.060,-0.283,3.331E-15,-0.0014,-0.007,8.674E-17
0.250,-0.347,-1.414,3.109E-14,-0.0083,-0.034,6.939E-16,-0.068,-0.283,9.992E-15,-0.0016,-0.007,1.561E-16
0.275,-0.383,-1.414,1.257,-0.0091,-0.034,0.030,-0.074,-0.283,-3.331E-15,-0.0018,-0.007,-1.735E-16
0.300,-0.418,-1.351,2.513,-0.0100,-0.032,0.060,-0.082,-0.283,0.628,-0.0019,-0.007,0.015
0.325,-0.451,-1.288,2.513,-0.0108,-0.031,0.060,-0.088,-0.251,1.257,-0.0021,-0.006,0.030
0.350,-0.482,-1.225,1.885,-0.0115,-0.029,0.045,-0.094,-0.220,1.257,-0.0022,-0.005,0.030
0.375,-0.512,-1.194,2.513,-0.0122,-0.028,0.060,-0.099,-0.188,0.628,-0.0024,-0.005,0.015
0.400,-0.542,-1.100,3.770,-0.0129,-0.026,0.090,-0.104,-0.188,0.628,-0.0025,-0.005,0.015
0.425,-0.567,-1.005,3.142,-0.0135,-0.024,0.075,-0.108,-0.157,1.885,-0.0026,-0.004,0.045
0.450,-0.592,-0.942,3.770,-0.0141,-0.022,0.090,-0.112,-0.094,1.885,-0.0027,-0.002,0.045
0.475,-0.614,-0.817,5.027,-0.0147,-0.020,0.120,-0.113,-0.063,0.628,-0.0027,-0.002,0.015
0.500,-0.633,-0.691,4.398,-0.0151,-0.017,0.105,-0.115,-0.063,0.628,-0.0027,-0.002,0.015
0.525,-0.649,-0.597,4.398,-0.0155,-0.014,0.105,-0.116,-0.031,1.257,-0.0028,-7.500E-4,0.030
0.550,-0.663,-0.471,5.027,-0.0158,-0.011,0.120,-0.116,0.000,0.628,-0.0028,0.000,0.015
0.575,-0.672,-0.346,5.027,-0.0160,-0.008,0.120,-0.116,0.000,0.000,-0.0028,0.000,0.000
0.600,-0.680,-0.220,5.027,-0.0162,-0.005,0.120,-0.116,0.000,0.628,-0.0028,0.000,0.015
0.625,-0.683,-0.094,4.398,-0.0163,-0.002,0.105,-0.116,0.031,1.257,-0.0028,7.500E-4,0.030
0.650,-0.685,0.000,5.027,-0.0163,0.000,0.120,-0.115,0.063,1.257,-0.0027,0.002,0.030
0.675,-0.683,0.157,5.655,-0.0163,0.004,0.135,-0.113,0.094,1.257,-0.0027,0.002,0.030
0.700,-0.677,0.283,5.027,-0.0162,0.007,0.120,-0.110,0.126,1.257,-0.0026,0.003,0.030
0.725,-0.669,0.408,5.027,-0.0160,0.010,0.120,-0.107,0.157,1.257,-0.0026,0.004,0.030
0.750,-0.657,0.534,4.398,-0.0157,0.013,0.105,-0.102,0.188,0.628,-0.0024,0.005,0.015
0.775,-0.642,0.628,4.398,-0.0153,0.015,0.105,-0.097,0.188,0.628,-0.0023,0.005,0.015
0.800,-0.625,0.754,5.027,-0.0149,0.018,0.120,-0.093,0.220,1.885,-0.0022,0.005,0.045
0.825,-0.605,0.880,4.398,-0.0144,0.021,0.105,-0.086,0.283,1.257,-0.0021,0.007,0.030
0.850,-0.581,0.974,3.142,-0.0139,0.023,0.075,-0.079,0.283,1.332E-14,-0.0019,0.007,2.949E-16
0.875,-0.556,1.037,3.142,-0.0133,0.025,0.075,-0.072,0.283,0.628,-0.0017,0.007,0.015
0.900,-0.529,1.131,3.142,-0.0126,0.027,0.075,-0.064,0.314,0.628,-0.0015,0.007,0.015
0.925,-0.500,1.194,2.513,-0.0119,0.028,0.060,-0.057,0.314,-2.220E-15,-0.0014,0.007,0.000
0.950,-0.470,1.257,2.513,-0.0112,0.030,0.060,-0.049,0.314,-0.628,-0.0012,0.007,-0.015
0.975,-0.437,1.319,1.885,-0.0104,0.032,0.045,-0.041,0.283,-1.257,-9.7500E-4,0.007,-0.030
1.000,-0.404,1.351,1.885,-0.0096,0.032,0.045,-0.035,0.251,-1.257,-8.2500E-4,0.006,-0.030
1.025,-0.369,1.414,1.257,-0.0088,0.034,0.030,-0.028,0.220,-0.628,-6.7500E-4,0.005,-0.015
1.050,-0.333,1.414,0.000,-0.0079,0.034,0.000,-0.024,0.220,0.000,-5.6250E-4,0.005,0.000
1.075,-0.298,1.414,0.628,-0.0071,0.034,0.015,-0.017,0.220,-1.998E-14,-4.1250E-4,0.005,-4.684E-16
1.100,-0.262,1.445,1.066E-13,-0.0063,0.034,3.331E-15,-0.013,0.220,1.998E-14,-3.0000E-4,0.005,4.857E-16
1.125,-0.226,1.414,-0.628,-0.0054,0.034,-0.015,-0.006,0.220,-0.628,-1.5000E-4,0.005,-0.015
