运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.000,0.005,,,1.1250E-4,,,0.000,,,0.0000,,
0.025,0.028,0.880,,6.7500E-4,0.021,,-0.008,-0.314,,-1.8750E-4,-0.008,
0.050,0.049,0.785,-4.398,0.0012,0.019,-0.105,-0.016,-0.283,1.885,-3.7500E-4,-0.007,0.045
0.075,0.068,0.660,-6.283,0.0016,0.016,-0.150,-0.022,-0.220,1.885,-5.2500E-4,-0.005,0.045
0.100,0.082,0.471,-6.912,0.0019,0.011,-0.165,-0.027,-0.188,1.257,-6.3750E-4,-0.004,0.030
0.125,0.091,0.314,-5.655,0.0022,0.008,-0.135,-0.031,-0.157,1.885,-7.5000E-4,-0.004,0.045
0.150,0.097,0.188,-5.655,0.0023,0.004,-0.135,-0.035,-0.094,1.885,-8.2500E-4,-0.002,0.045
0.175,0.101,0.031,-6.283,0.0024,7.500E-4,-0.150,-0.036,-0.063,1.257,-8.6250E-4,-0.002,0.030
0.200,0.099,-0.126,-6.283,0.0024,-0.003,-0.150,-0.038,-0.031,1.257,-9.0000E-4,-7.500E-4,0.030
0.225,0.094,-0.283,-6.912,0.0022,-0.007,-0.165,-0.038,0.000,0.628,-9.0000E-4,0.000,0.015
0.250,0.085,-0.471,-6.912,0.0020,-0.011,-0.165,-0.038,0.000,0.628,-9.0000E-4,0.000,0.015
0.275,0.071,-0.628,-5.655,0.0017,-0.015,-0.135,-0.038,0.031,1.885,-9.0000E-4,7.500E-4,0.045
0.300,0.053,-0.754,-5.027,0.0013,-0.018,-0.120,-0.036,0.094,2.513,-8.6250E-4,0.002,0.060
0.325,0.033,-0.880,-4.398,7.8750E-4,-0.021,-0.105,-0.033,0.157,1.885,-7.8750E-4,0.004,0.045
0.350,0.009,-0.974,-4.398,2.2500E-4,-0.023,-0.105,-0.028,0.188,1.257,-6.7500E-4,0.004,0.030
0.375,-0.016,-1.100,-5.027,-3.7500E-4,-0.026,-0.120,-0.024,0.220,1.257,-5.6250E-4,0.005,0.030
0.400,-0.046,-1.225,-3.770,-0.0011,-0.029,-0.090,-0.017,0.251,0.628,-4.1250E-4,0.006,0.015
0.425,-0.077,-1.288,-1.885,-0.0018,-0.031,-0.045,-0.011,0.251,0.628,-2.6250E-4,0.006,0.015
