in s,C1 in V
-1.8900000E-04,9.76562E-03
-1.8899040E-04,9.76562E-03
-1.8898080E-04,2.92969E-02
-1.8897120E-04,2.92969E-02
-1.8896160E-04,2.92969E-02
-1.8895200E-04,4.88281E-02
-1.8894240E-04,9.76562E-03
-1.8893280E-04,9.76562E-03
-1.8892320E-04,9.76562E-03
-1.8891360E-04,4.88281E-02
-1.8890400E-04,9.76562E-03
-1.8889440E-04,2.92969E-02
-1.8888480E-04,2.92969E-02
-1.8887520E-04,2.92969E-02
-1.8886560E-04,4.88281E-02
-1.8885600E-04,9.76562E-03
-1.8884640E-04,4.88281E-02
-1.8883680E-04,2.92969E-02
-1.8882720E-04,9.76562E-03
-1.8881760E-04,9.76562E-03
-1.8880800E-04,2.92969E-02
-1.8879840E-04,9.76562E-03
-1.8878880E-04,9.76562E-03
-1.8877920E-04,9.76562E-03
-1.8876960E-04,9.76562E-03
-1.8876000E-04,9.76562E-03
-1.8875040E-04,9.76562E-03
-1.8874080E-04,2.92969E-02
-1.8873120E-04,9.76562E-03
-1.8872160E-04,9.76562E-03
-1.8871200E-04,4.88281E-02
-1.8870240E-04,9.76562E-03
-1.8869280E-04,4.88281E-02
-1.8868320E-04,9.76562E-03
-1.8867360E-04,9.76562E-03
-1.8866400E-04,2.92969E-02
-1.8865440E-04,9.76562E-03
-1.8864480E-04,9.76562E-03
-1.8863520E-04,9.76562E-03
-1.8862560E-04,2.92969E-02
-1.8861600E-04,6.83594E-02
-1.8860640E-04,4.88281E-02
-1.8859680E-04,9.76562E-03
-1.8858720E-04,9.76562E-03
-1.8857760E-04,2.92969E-02
-1.8856800E-04,9.76562E-03
-1.8855840E-04,4.88281E-02
-1.8854880E-04,9.76562E-03
-1.8853920E-04,2.92969E-02
-1.8852960E-04,9.76562E-03
-1.8852000E-04,9.76562E-03
-1.8851040E-04,9.76562E-03
-1.8850080E-04,2.92969E-02
-1.8849120E-04,2.92969E-02
-1.8848160E-04,9.76562E-03
-1.8847200E-04,4.88281E-02
-1.8846240E-04,9.76562E-03
-1.8845280E-04,6.83594E-02
-1.8844320E-04,9.76562E-03
-1.8843360E-04,2.92969E-02
-1.8842400E-04,2.92969E-02
-1.8841440E-04,2.92969E-02
-1.8840480E-04,2.92969E-02
-1.8839520E-04,2.92969E-02
-1.8838560E-04,2.92969E-02
-1.8837600E-04,9.76562E-03
-1.8836640E-04,4.88281E-02
-1.8835680E-04,9.76562E-03
-1.8834720E-04,9.76562E-03
-1.8833760E-04,6.83594E-02
-1.8832800E-04,4.88281E-02
-1.8831840E-04,6.83594E-02
-1.8830880E-04,9.76562E-03
-1.8829920E-04,9.76562E-03
-1.8828960E-04,9.76562E-03
-1.8828000E-04,9.76562E-03
-1.8827040E-04,4.88281E-02
-1.8826080E-04,2.92969E-02
-1.8825120E-04,2.92969E-02
-1.8824160E-04,2.92969E-02
-1.8823200E-04,9.76562E-03
-1.8822240E-04,2.92969E-02
